2016-02-11 21:00:01,401 [Worker-56] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Sriman\SpringAnnotation\18_Configuration_Bean_without_ConfigurationFile\src\test\resources
2016-02-11 21:04:07,981 [Worker-58] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 18_Configuration_Bean_without_ConfigurationFile:18_Configuration_Bean_without_ConfigurationFile:0.0.1-SNAPSHOT @ F:\Sriman\SpringAnnotation\18_Configuration_Bean_without_ConfigurationFile\pom.xml.
2016-02-11 21:04:08,234 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-11 21:04:08,235 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Sriman\SpringAnnotation\18_Configuration_Bean_without_ConfigurationFile\src\main\resources
2016-02-11 21:04:08,238 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-11 21:04:08,239 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Sriman\SpringAnnotation\18_Configuration_Bean_without_ConfigurationFile\src\test\resources
2016-02-11 21:04:15,451 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-11 21:04:15,452 [Worker-48] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Sriman\SpringAnnotation\18_Configuration_Bean_without_ConfigurationFile\src\main\resources
2016-02-11 21:04:15,456 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-11 21:04:15,457 [Worker-48] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Sriman\SpringAnnotation\18_Configuration_Bean_without_ConfigurationFile\src\test\resources
2016-02-11 21:12:05,919 [Worker-58] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 18_Configuration_Bean_without_ConfigurationFile:18_Configuration_Bean_without_ConfigurationFile:0.0.1-SNAPSHOT @ F:\Sriman\SpringAnnotation\18_Configuration_Bean_without_ConfigurationFile\pom.xml.
